"observation_id","eruptions","waiting"
"faithful_001",3.6,79
"faithful_002",1.8,54
"faithful_003",3.333,74
"faithful_004",2.283,62
"faithful_005",4.533,85
"faithful_006",2.883,55
"faithful_007",4.7,88
"faithful_008",3.6,85
"faithful_009",1.95,51
"faithful_010",4.35,85
"faithful_011",1.833,54
"faithful_012",3.917,84
"faithful_013",4.2,78
"faithful_014",1.75,47
"faithful_015",4.7,83
"faithful_016",2.167,52
"faithful_017",1.75,62
"faithful_018",4.8,84
"faithful_019",1.6,52
"faithful_020",4.25,79
"faithful_021",1.8,51
"faithful_022",1.75,47
"faithful_023",3.45,78
"faithful_024",3.067,69
"faithful_025",4.533,74
"faithful_026",3.6,83
"faithful_027",1.967,55
"faithful_028",4.083,76
"faithful_029",3.85,78
"faithful_030",4.433,79
"faithful_031",4.3,73
"faithful_032",4.467,77
"faithful_033",3.367,66
"faithful_034",4.033,80
"faithful_035",3.833,74
"faithful_036",2.017,52
"faithful_037",1.867,48
"faithful_038",4.833,80
"faithful_039",1.833,59
"faithful_040",4.783,90
"faithful_041",4.35,80
"faithful_042",1.883,58
"faithful_043",4.567,84
"faithful_044",1.75,58
"faithful_045",4.533,73
"faithful_046",3.317,83
"faithful_047",3.833,64
"faithful_048",2.1,53
"faithful_049",4.633,82
"faithful_050",2,59
"faithful_051",4.8,75
"faithful_052",4.716,90
"faithful_053",1.833,54
"faithful_054",4.833,80
"faithful_055",1.733,54
"faithful_056",4.883,83
"faithful_057",3.717,71
"faithful_058",1.667,64
"faithful_059",4.567,77
"faithful_060",4.317,81
"faithful_061",2.233,59
"faithful_062",4.5,84
"faithful_063",1.75,48
"faithful_064",4.8,82
"faithful_065",1.817,60
"faithful_066",4.4,92
"faithful_067",4.167,78
"faithful_068",4.7,78
"faithful_069",2.067,65
"faithful_070",4.7,73
"faithful_071",4.033,82
"faithful_072",1.967,56
"faithful_073",4.5,79
"faithful_074",4,71
"faithful_075",1.983,62
"faithful_076",5.067,76
"faithful_077",2.017,60
"faithful_078",4.567,78
"faithful_079",3.883,76
"faithful_080",3.6,83
"faithful_081",4.133,75
"faithful_082",4.333,82
"faithful_083",4.1,70
"faithful_084",2.633,65
"faithful_085",4.067,73
"faithful_086",4.933,88
"faithful_087",3.95,76
"faithful_088",4.517,80
"faithful_089",2.167,48
"faithful_090",4,86
"faithful_091",2.2,60
"faithful_092",4.333,90
"faithful_093",1.867,50
"faithful_094",4.817,78
"faithful_095",1.833,63
"faithful_096",4.3,72
"faithful_097",4.667,84
"faithful_098",3.75,75
"faithful_099",1.867,51
"faithful_100",4.9,82
"faithful_101",2.483,62
"faithful_102",4.367,88
"faithful_103",2.1,49
"faithful_104",4.5,83
"faithful_105",4.05,81
"faithful_106",1.867,47
"faithful_107",4.7,84
"faithful_108",1.783,52
"faithful_109",4.85,86
"faithful_110",3.683,81
"faithful_111",4.733,75
"faithful_112",2.3,59
"faithful_113",4.9,89
"faithful_114",4.417,79
"faithful_115",1.7,59
"faithful_116",4.633,81
"faithful_117",2.317,50
"faithful_118",4.6,85
"faithful_119",1.817,59
"faithful_120",4.417,87
"faithful_121",2.617,53
"faithful_122",4.067,69
"faithful_123",4.25,77
"faithful_124",1.967,56
"faithful_125",4.6,88
"faithful_126",3.767,81
"faithful_127",1.917,45
"faithful_128",4.5,82
"faithful_129",2.267,55
"faithful_130",4.65,90
"faithful_131",1.867,45
"faithful_132",4.167,83
"faithful_133",2.8,56
"faithful_134",4.333,89
"faithful_135",1.833,46
"faithful_136",4.383,82
"faithful_137",1.883,51
"faithful_138",4.933,86
"faithful_139",2.033,53
"faithful_140",3.733,79
"faithful_141",4.233,81
"faithful_142",2.233,60
"faithful_143",4.533,82
"faithful_144",4.817,77
"faithful_145",4.333,76
"faithful_146",1.983,59
"faithful_147",4.633,80
"faithful_148",2.017,49
"faithful_149",5.1,96
"faithful_150",1.8,53
"faithful_151",5.033,77
"faithful_152",4,77
"faithful_153",2.4,65
"faithful_154",4.6,81
"faithful_155",3.567,71
"faithful_156",4,70
"faithful_157",4.5,81
"faithful_158",4.083,93
"faithful_159",1.8,53
"faithful_160",3.967,89
"faithful_161",2.2,45
"faithful_162",4.15,86
"faithful_163",2,58
"faithful_164",3.833,78
"faithful_165",3.5,66
"faithful_166",4.583,76
"faithful_167",2.367,63
"faithful_168",5,88
"faithful_169",1.933,52
"faithful_170",4.617,93
"faithful_171",1.917,49
"faithful_172",2.083,57
"faithful_173",4.583,77
"faithful_174",3.333,68
"faithful_175",4.167,81
"faithful_176",4.333,81
"faithful_177",4.5,73
"faithful_178",2.417,50
"faithful_179",4,85
"faithful_180",4.167,74
"faithful_181",1.883,55
"faithful_182",4.583,77
"faithful_183",4.25,83
"faithful_184",3.767,83
"faithful_185",2.033,51
"faithful_186",4.433,78
"faithful_187",4.083,84
"faithful_188",1.833,46
"faithful_189",4.417,83
"faithful_190",2.183,55
"faithful_191",4.8,81
"faithful_192",1.833,57
"faithful_193",4.8,76
"faithful_194",4.1,84
"faithful_195",3.966,77
"faithful_196",4.233,81
"faithful_197",3.5,87
"faithful_198",4.366,77
"faithful_199",2.25,51
"faithful_200",4.667,78
"faithful_201",2.1,60
"faithful_202",4.35,82
"faithful_203",4.133,91
"faithful_204",1.867,53
"faithful_205",4.6,78
"faithful_206",1.783,46
"faithful_207",4.367,77
"faithful_208",3.85,84
"faithful_209",1.933,49
"faithful_210",4.5,83
"faithful_211",2.383,71
"faithful_212",4.7,80
"faithful_213",1.867,49
"faithful_214",3.833,75
"faithful_215",3.417,64
"faithful_216",4.233,76
"faithful_217",2.4,53
"faithful_218",4.8,94
"faithful_219",2,55
"faithful_220",4.15,76
"faithful_221",1.867,50
"faithful_222",4.267,82
"faithful_223",1.75,54
"faithful_224",4.483,75
"faithful_225",4,78
"faithful_226",4.117,79
"faithful_227",4.083,78
"faithful_228",4.267,78
"faithful_229",3.917,70
"faithful_230",4.55,79
"faithful_231",4.083,70
"faithful_232",2.417,54
"faithful_233",4.183,86
"faithful_234",2.217,50
"faithful_235",4.45,90
"faithful_236",1.883,54
"faithful_237",1.85,54
"faithful_238",4.283,77
"faithful_239",3.95,79
"faithful_240",2.333,64
"faithful_241",4.15,75
"faithful_242",2.35,47
"faithful_243",4.933,86
"faithful_244",2.9,63
"faithful_245",4.583,85
"faithful_246",3.833,82
"faithful_247",2.083,57
"faithful_248",4.367,82
"faithful_249",2.133,67
"faithful_250",4.35,74
"faithful_251",2.2,54
"faithful_252",4.45,83
"faithful_253",3.567,73
"faithful_254",4.5,73
"faithful_255",4.15,88
"faithful_256",3.817,80
"faithful_257",3.917,71
"faithful_258",4.45,83
"faithful_259",2,56
"faithful_260",4.283,79
"faithful_261",4.767,78
"faithful_262",4.533,84
"faithful_263",1.85,58
"faithful_264",4.25,83
"faithful_265",1.983,43
"faithful_266",2.25,60
"faithful_267",4.75,75
"faithful_268",4.117,81
"faithful_269",2.15,46
"faithful_270",4.417,90
"faithful_271",1.817,46
"faithful_272",4.467,74
